0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:25 +0530] "GET /Lab/front-end/images/bg/banner.jpg HTTP/1.1" 200 49240
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:25 +0530] "GET /Lab/front-end/images/bg/22.jpg HTTP/1.1" 200 68932
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:25 +0530] "GET /Lab/contact.jsp HTTP/1.1" 200 7824
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:25 +0530] "GET /Lab/j./front-end/s/contact.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:48 +0530] "GET /Lab/service.jsp HTTP/1.1" 200 9922
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:49 +0530] "GET /Lab/service.jsp HTTP/1.1" 200 9922
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:51 +0530] "GET /Lab/contact.jsp HTTP/1.1" 200 7824
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:51 +0530] "GET /Lab/j./front-end/s/contact.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/login.jsp HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/fonts/boxicons.css HTTP/1.1" 200 86510
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/css/core.css HTTP/1.1" 200 998344
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/css/theme-default.css HTTP/1.1" 200 71446
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/css/demo.css HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 200 5219
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/css/pages/page-auth.css HTTP/1.1" 200 36208
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/js/helpers.js HTTP/1.1" 200 103179
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/js/config.js HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/libs/jquery/jquery.js HTTP/1.1" 200 833085
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/js/bootstrap.js HTTP/1.1" 200 843148
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/libs/popper/popper.js HTTP/1.1" 200 57859
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 200 108858
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/js/jquery.validate.min.js HTTP/1.1" 200 24433
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:52 +0530] "GET /Lab/back-end/assets/js/jquery.validate-init.js HTTP/1.1" 200 5903
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:53 +0530] "GET /Lab/back-end/assets/js/main.js HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:53 +0530] "GET /Lab/back-end/assets/vendor/js/menu.js HTTP/1.1" 200 80283
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:53 +0530] "GET /Lab/back-end/assets/vendor/fonts/boxicons/boxicons.woff2 HTTP/1.1" 200 102988
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:53 +0530] "GET /Lab/back-end/assets/img/favicon/favicon.ico HTTP/1.1" 200 11579
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:58 +0530] "GET /Lab/registration.jsp HTTP/1.1" 200 9133
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:44:04 +0530] "GET /Lab/appoiment.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:44:04 +0530] "GET /Lab/login.jsp HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:47:04 +0530] "GET /Lab/registration.jsp HTTP/1.1" 200 9133
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:48:59 +0530] "POST /Lab/register HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:48:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
